codigo,nombre,domicilio,c_postal,localidad,provincia,pais,rubro,email_logi,Address,Latitude,Longitude
4920,LA CASA DE LAS CHAPAS S.A.,E. PERALTA RAMOS 155,7600,MAR DEL PLATA,BUENOS AIRES,ARGENTINA,CONSTRUCCION EN SECO,,"E. PERALTA RAMOS 155 (7600) MAR DEL PLATA, BUENOS AIRES, ARGENTINA",-38.0425873,-57.6432629
5400,SISTEMA BLOCKE ARGENTINA SA,BELTRAN 608,5500,MENDOZA,MENDOZA,ARGENTINA,DISTRIBUIDOR,,"BELTRAN 608 (5500) MENDOZA, MENDOZA, ARGENTINA",-32.8790119,-68.827935
99,CASA PATAMIA S.A.,AV. EVA PERON 523,5280,CRUZ DEL EJE,CORDOBA,ARGENTINA,,,"AV. EVA PERON 523 (5280) CRUZ DEL EJE, CORDOBA, ARGENTINA",-30.7296718,-64.79539249999999
166,CORRALON MAYORISTA SRL,J.J. LASTRA 4000,8300,NEUQUEN,NEUQUEN,ARGENTINA,CORRALON,,"J.J. LASTRA 4000 (8300) NEUQUEN, NEUQUEN, ARGENTINA",-38.9594688,-68.1135362
5442,LUPATINI Y CIA S.A.,AQUINO 432,1714,ITUZAINGO,BUENOS AIRES,ARGENTINA,PINTURERIA,,"AQUINO 432 (1714) ITUZAINGO, BUENOS AIRES, ARGENTINA",-34.6642353,-58.6836076
6741,CARROLON SRL,AV SANTOS ORTIZ Y RUTA 147,5700,SAN LUIS,SAN LUIS,ARGENTINA,FERRETERIA,,"AV SANTOS ORTIZ Y RUTA 147 (5700) SAN LUIS, SAN LUIS, ARGENTINA",-33.3085631,-66.3246234
214,V S MATERIALES- MOREIRA JUAN C,H.YRIGOYEN Y MARTIN FIERRO,9100,TRELEW,CHUBUT,ARGENTINA,CORRALON,,"H.YRIGOYEN Y MARTIN FIERRO (9100) TRELEW, CHUBUT, ARGENTINA",-26.3075736,-59.3739344
1256,DO BRITO RUBEN OSCAR,BV AVELLANEDA 1001 Y SAN LUIS,2000,ROSARIO,SANTA FE,ARGENTINA,COLOCADOR,,"BV AVELLANEDA 1001 Y SAN LUIS (2000) ROSARIO, SANTA FE, ARGENTINA",-32.9418499,-60.679602
5613,GOMEZ CONSTRUSHOP SA,AV CENTENARIO 290,5700,SAN LUIS,SAN LUIS,ARGENTINA,CORRALON,,"AV CENTENARIO 290 (5700) SAN LUIS, SAN LUIS, ARGENTINA",-33.2796077,-66.331172
1440,SIMONIT VANESA CAROLINA,AV. URQUIZA 1185,3500,RESISTENCIA,CHACO,ARGENTINA,DISTRIBUIDOR,,"AV. URQUIZA 1185 (3500) RESISTENCIA, CHACO, ARGENTINA",-27.4797559,-58.9754198
5936,SPARTA MIGUEL ANGEL,CASTRO BARROS 746,1686,HURLINGHAM,BUENOS AIRES,ARGENTINA,CONSTRUCTORA,,"CASTRO BARROS 746 (1686) HURLINGHAM, BUENOS AIRES, ARGENTINA",-34.5903622,-58.6442086
5635,ARESO SANTIAGO,BV. COLON 434,2700,PERGAMINO,BUENOS AIRES,ARGENTINA,COLOCADOR,,"BV. COLON 434 (2700) PERGAMINO, BUENOS AIRES, ARGENTINA",-33.8908547,-60.5800095
5575,RICCIUTI LORENA EDITH,LORENZINI 2808,1684,EL PALOMAR,BUENOS AIRES,ARGENTINA,DISTRIBUIDOR,,"LORENZINI 2808 (1684) EL PALOMAR, BUENOS AIRES, ARGENTINA",-34.6023098,-58.58696029999999
1027,TODO CORRALON S.R.L.,CERROTRONADOR 1048 Piso:PB,8332,GENERAL ROCA,RIO NEGRO,ARGENTINA,CORRALON,,"CERROTRONADOR 1048 Piso:PB (8332) GENERAL ROCA, RIO NEGRO, ARGENTINA",-39.0441959,-67.5815172
5629,ROSSO HNOS SA,AV LEANDRO ALEM 595,4000,SAN MIGUEL DE TUCUMAN,TUCUMAN,ARGENTINA,CORRALON,,"AV LEANDRO ALEM 595 (4000) SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA",-26.7299974,-65.2607469
56,PERREN Y CIA S.A.,9 DE JULIO 975,9100,TRELEW,CHUBUT,ARGENTINA,CORRALON,,"9 DE JULIO 975 (9100) TRELEW, CHUBUT, ARGENTINA",-43.2548211,-65.3201789
5650,ALDO MOVILE S CAPI I SECC IV,CUENCA 525,1684,EL PALOMAR,BUENOS AIRES,ARGENTINA,DISTRIBUIDOR,,"CUENCA 525 (1684) EL PALOMAR, BUENOS AIRES, ARGENTINA",-34.6107264,-58.594835
4669,MEDINA M.A Y MEDINA C.A,CORRIENTES 4505,2000,ROSARIO,SANTA FE,ARGENTINA,DISTRIBUIDOR,,"CORRIENTES 4505 (2000) ROSARIO, SANTA FE, ARGENTINA",-32.9888556,-60.6530331
4401,RAMON SANCHEZ E HIJOS SRL,AV. MITRE 868,5600,SAN RAFAEL,MENDOZA,ARGENTINA,CORRALON,,"AV. MITRE 868 (5600) SAN RAFAEL, MENDOZA, ARGENTINA",-34.6205908,-68.3179775
1448,CORRALON FERNANDES S.A.C.Y.C,CASTAÑON 3682,9100,TRELEW,CHUBUT,ARGENTINA,CORRALON,,"CASTAÑON 3682 (9100) TRELEW, CHUBUT, ARGENTINA",-43.2493016,-65.30763510000001
5181,NORMA BEATRIZ BORETTI,AV CARCANO 392,5152,VILLA CARLOS PAZ,CORDOBA,ARGENTINA,COLOCADOR,,"AV CARCANO 392 (5152) VILLA CARLOS PAZ, CORDOBA, ARGENTINA",-31.4288727,-64.4963332
5261,LUIS SERAN,PASAJE MAR CHIQUITA 4308,5006,BARRIO ALTAMIRA,CORDOBA,ARGENTINA,COLOCADOR,,"PASAJE MAR CHIQUITA 4308 (5006) BARRIO ALTAMIRA, CORDOBA, ARGENTINA",-31.4220286,-64.12993449999999
1329,CARMAGI S.R.L.,CORRIENTES 454,6500,9 DE JULIO,BUENOS AIRES,ARGENTINA,CORRALON,,"CORRIENTES 454 (6500) 9 DE JULIO, BUENOS AIRES, ARGENTINA",-35.4479225,-60.8776494
3317,LAR MATERIALES S.A.,DORREGO 199,5300,LA RIOJA,LA RIOJA,ARGENTINA,CORRALON,,"DORREGO 199 (5300) LA RIOJA, LA RIOJA, ARGENTINA",-29.4151155,-66.8489192
4080,CHAIB WALTER DARIO,17 DE JULIO 4033,5006,BARRIO EMPALME FCGBM,CORDOBA,ARGENTINA,,,"17 DE JULIO 4033 (5006) BARRIO EMPALME FCGBM, CORDOBA, ARGENTINA",-31.4346465,-64.1351967
4616,ARRIETA ANGEL DARIO,JOSE HERNANDEZ 1970,5800,RIO CUARTO,CORDOBA,ARGENTINA,COLOCADOR,,"JOSE HERNANDEZ 1970 (5800) RIO CUARTO, CORDOBA, ARGENTINA",-33.1533006,-64.3480373
4912,AGRUP. COMPRAS FERRETERA ROSAR,VELEZ SARSFIELD 440,2000,ROSARIO,SANTA FE,ARGENTINA,GRUPO DE COMPRAS,,"VELEZ SARSFIELD 440 (2000) ROSARIO, SANTA FE, ARGENTINA",-32.9244981,-60.6699062
4629,ESPA S.A.,BV. LOS ALEMANES 3312,5147,LOS BOULEVARES,CORDOBA,ARGENTINA,DISTRIBUIDOR,,"BV. LOS ALEMANES 3312 (5147) LOS BOULEVARES, CORDOBA, ARGENTINA",-31.34307069999999,-64.2146186
5751,DIRECTO SRL,ALSINA 425,3100,PARANA,ENTRE RIOS,ARGENTINA,DISTRIBUIDOR,,"ALSINA 425 (3100) PARANA, ENTRE RIOS, ARGENTINA",-31.7421133,-60.5196639
4827,MIÑO RAMON EUSTAQUIO,FERNANDEZ MORENO 1647,1406,CAPITAL FEDERAL,CAPITAL FEDERAL,ARGENTINA,COLOCADOR,,"FERNANDEZ MORENO 1647 (1406) CAPITAL FEDERAL, CAPITAL FEDERAL, ARGENTINA",-34.6330998,-58.4487207
